"Database Search","Title","Working Paper Series","Book (Chapter)","(Book) Series","Conference","Journal","Author(s)","Year","Empirical","Theoretical","Free product, cash back","Vouchers, gift card, coupon, reward points, bonus points, credits","Give-to-Get","Lottery","Discount, rebate","Pay per view/click","Money","Badge/Elite/level/rank/status","Donation/charitable incentives","Helping or compassionate incentive","Social incentives/norms","Service Strategy","Incentive not clear"
"Scopus Backward Search","Speaking for “free”: Word of mouth in free-and paid-product settings","","","","","Journal of Marketing Research","Bond et al.","2019","x","","x","","","","","","","","","","","",""
"Scopus Keyword Search","Incentives Can Reduce Bias in Online Employer Reviews","","","","","Journal of Experimental Psychology: Applied","Marinescu et al.","2021","x","","","","x","","","","x","","","x","","",""
"Scopus Keyword Search","Online travel review posting intentions: a social exchange theory perspective","","","","","Leisure/Loisir","Bakshi et al.","2021","","","","x","","","x","","","","","","","",""
"Scopus Backward Search","Electronic word-of-mouth via consumer-opinion platforms: What motivates consumers to articulate themselves on the Internet?","","","","","Journal of Interactive Marketing","Hennig-Thurau et al.","2004","x","","","","","","","","","","","","","","x"
"Scopus Backward Search","The role of reviewer badges in the dynamics of online reviews","","","","","International Journal of Research in Marketing","Yazdani et al.","2024","x","","","","","","","","","x","","","","",""
"Scopus Backward Search","Rebate strategy to stimulate online customer reviews","","","","","International Journal of Production Economics","Yang and Dong","2018","","x","","","","","x","","","","","","","",""
"Scopus Backward Search","Who should pay for online reviews? Design of an online user feedback mechanism","","","","","Electronic Commerce Research and Applications","Chen et al.","2017","","x","","","","","x","","","","","","","",""
"Scopus Backward Search","Incentivized reviews: Promising the moon for a few stars","","","","","Journal of Retailing and Consumer Services","Petrescu et al. ","2018","x","","x","","","","","","","","","","","",""
"Scopus Backward Search","The interplay between free sampling and word of mouth in the online software market","","","","","Decision Support Systems","Chen et al.","2017","x","","x","","","","","","","","","","","",""
"Scopus Backward Search","Status reinforcing: Unintended rating bias on online shopping platforms","","","","","Journal of Retailing and Consumer Services","Hu et al.","2022","x","","","","","","","","","x","","","","",""
"Scopus Backward Search","Detecting incentivized review groups with co-review graph","","","","","High-Confidence Computing","Zhang et al.","2021","x","","x","","","","","","","","","","","",""
